ticker,date,close_price,prev_close,daily_return_pct
NFLX,03-03-2023,315.18,311.88,1.0581
NFLX,06-03-2023,312.03,315.18,-0.9994
NFLX,07-03-2023,308.47,312.03,-1.1409
NFLX,08-03-2023,311.79,308.47,1.0763
NFLX,09-03-2023,297.78,311.79,-4.4934
NFLX,10-03-2023,292.76,297.78,-1.6858
NFLX,13-03-2023,293.51,292.76,0.2562
NFLX,14-03-2023,294.94,293.51,0.4872
NFLX,15-03-2023,303.79,294.94,3.0006
NFLX,16-03-2023,310.06,303.79,2.0639
NFLX,17-03-2023,303.5,310.06,-2.1157
NFLX,20-03-2023,305.13,303.5,0.5371
NFLX,21-03-2023,305.79,305.13,0.2163
NFLX,22-03-2023,293.9,305.79,-3.8883
NFLX,23-03-2023,320.37,293.9,9.0065
NFLX,24-03-2023,328.39,320.37,2.5034
NFLX,27-03-2023,327.66,328.39,-0.2223
NFLX,28-03-2023,323.52,327.66,-1.2635
NFLX,29-03-2023,332.03,323.52,2.6304
NFLX,30-03-2023,338.43,332.03,1.9275
NFLX,31-03-2023,345.48,338.43,2.0831
NFLX,03-04-2023,348.28,345.48,0.8105
NFLX,04-04-2023,346.75,348.28,-0.4393
NFLX,05-04-2023,342.35,346.75,-1.2689
NFLX,06-04-2023,339.33,342.35,-0.8821
NFLX,10-04-2023,338.99,339.33,-0.1002
NFLX,11-04-2023,338.21,338.99,-0.2301
NFLX,12-04-2023,331.03,338.21,-2.1229
NFLX,13-04-2023,346.19,331.03,4.5796
NFLX,14-04-2023,338.63,346.19,-2.1838
NFLX,17-04-2023,332.72,338.63,-1.7453
NFLX,18-04-2023,333.7,332.72,0.2945
NFLX,19-04-2023,323.12,333.7,-3.1705
NFLX,20-04-2023,325.35,323.12,0.6901
NFLX,21-04-2023,327.98,325.35,0.8084
NFLX,24-04-2023,329.02,327.98,0.3171
NFLX,25-04-2023,322.55,329.02,-1.9664
NFLX,26-04-2023,321.15,322.55,-0.434
NFLX,27-04-2023,325.85,321.15,1.4635
NFLX,28-04-2023,329.93,325.85,1.2521
NFLX,01-05-2023,324.12,329.93,-1.761
NFLX,02-05-2023,317.55,324.12,-2.027
NFLX,03-05-2023,319.3,317.55,0.5511
NFLX,04-05-2023,320.78,319.3,0.4635
NFLX,05-05-2023,322.76,320.78,0.6172
